team,avg_ovr,avg_pac,avg_sho,avg_pas,avg_dri,avg_def,avg_phy
Algeria,73.23076923076923,69.84615384615384,66.15384615384616,68.84615384615384,74.5,56.5,66.42307692307692
Argentina,80.42307692307692,74.46153846153847,69.46153846153847,75.3076923076923,79.23076923076923,63.03846153846154,73.34615384615384
Australia,69.3076923076923,71.38461538461539,56.76923076923077,62.42307692307692,66.38461538461539,59.30769230769231,70.92307692307692
Austria,76.53846153846153,71.8076923076923,62.61538461538461,70.57692307692308,73.8076923076923,63.73076923076923,72.23076923076923
Belgium,79.5,71.61538461538461,67.5,73.26923076923077,76.65384615384616,59.38461538461539,74.03846153846153
Bosnia&Herz,70.92307692307692,65.26923076923077,57.65384615384615,60.07692307692308,65.84615384615384,51.42307692307692,71.96153846153847
Brazil,81.61538461538461,78.11538461538461,70.5,74.07692307692308,78.8076923076923,60.96153846153846,74.84615384615384
Canada,69.92307692307692,72.88461538461539,59.61538461538461,61.15384615384615,67.73076923076923,53.26923076923077,68.57692307692308
Cabo Verde,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Colombia,76.34615384615384,76.5,67.23076923076923,70.8076923076923,74.07692307692308,59.73076923076923,73.26923076923077
Croatia,77.57692307692308,69.76923076923077,65.76923076923077,69.46153846153847,74.57692307692308,62.46153846153846,74.46153846153847
Curacao,60.5,64.84615384615384,54.15384615384615,57.84615384615385,61.0,55.15384615384615,59.65384615384615
Czech Republic,74.57692307692308,71.07692307692308,65.11538461538461,67.5,70.8076923076923,53.46153846153846,74.92307692307692
Congo DR,71.57692307692308,72.92307692307692,59.84615384615385,63.23076923076923,69.65384615384616,55.42307692307692,72.23076923076923
Ecuador,72.5,76.76923076923077,59.34615384615385,63.53846153846154,70.5,52.88461538461539,67.73076923076923
Egypt,61.0,60.26923076923077,58.96153846153846,59.03846153846154,59.84615384615385,55.92307692307692,60.30769230769231
England,83.56,74.12,71.92,78.8,81.28,64.12,74.88
France,83.5,81.76923076923077,68.88461538461539,75.26923076923077,81.03846153846153,62.73076923076923,76.34615384615384
Germany,82.1923076923077,75.73076923076923,69.84615384615384,76.23076923076923,79.11538461538461,61.46153846153846,75.38461538461539
Ghana,73.57692307692308,72.42307692307692,58.26923076923077,63.03846153846154,69.96153846153847,58.26923076923077,72.03846153846153
Haiti,60.88461538461539,63.76923076923077,54.73076923076923,57.38461538461539,60.07692307692308,53.88461538461539,60.61538461538461
Iran,60.23076923076923,59.69230769230769,58.07692307692308,58.5,59.53846153846154,55.11538461538461,60.19230769230769
Iraq,62.11538461538461,66.1923076923077,58.19230769230769,58.61538461538461,62.69230769230769,50.80769230769231,61.53846153846154
Cote d'Ivoire,75.1923076923077,75.15384615384616,59.53846153846154,66.61538461538461,72.92307692307692,57.46153846153846,70.0
Japan,74.5,74.3076923076923,61.30769230769231,66.07692307692308,71.42307692307692,60.19230769230769,71.53846153846153
Jordan,58.38461538461539,59.07692307692308,56.38461538461539,56.96153846153846,57.69230769230769,56.88461538461539,58.23076923076923
Mexico,68.65384615384616,71.11538461538461,58.26923076923077,61.5,67.88461538461539,49.46153846153846,64.53846153846153
Morocco,76.8076923076923,75.07692307692308,68.42307692307692,70.23076923076923,76.15384615384616,51.38461538461539,69.11538461538461
Netherlands,81.53846153846153,76.46153846153847,66.92307692307692,73.46153846153847,77.96153846153847,66.46153846153847,76.26923076923077
New Zealand,66.96153846153847,69.57692307692308,58.88461538461539,60.84615384615385,64.92307692307692,54.42307692307692,70.6923076923077
Norway,76.0,73.96153846153847,66.23076923076923,69.5,73.84615384615384,56.19230769230769,73.57692307692308
Panama,61.76923076923077,61.46153846153846,56.0,59.30769230769231,60.69230769230769,55.5,61.76923076923077
Paraguay,72.6923076923077,70.0,62.84615384615385,63.69230769230769,69.96153846153847,55.15384615384615,68.88461538461539
Portugal,80.34615384615384,78.15384615384616,71.07692307692308,75.26923076923077,79.46153846153847,56.03846153846154,72.5
Qatar,57.0,57.0,57.0,57.0,57.0,57.0,57.0
Saudi Arabia,69.11538461538461,71.96153846153847,53.30769230769231,61.0,65.1923076923077,56.88461538461539,69.57692307692308
Scotland,73.84615384615384,70.73076923076923,62.46153846153846,66.84615384615384,71.03846153846153,61.69230769230769,73.3076923076923
Senegal,71.5,71.46153846153847,64.15384615384616,65.76923076923077,69.84615384615384,57.53846153846154,68.11538461538461
South Africa,62.0,66.88461538461539,54.5,56.92307692307692,60.84615384615385,54.65384615384615,60.69230769230769
Korea Republic,71.8076923076923,75.1923076923077,60.69230769230769,64.11538461538461,70.6923076923077,51.11538461538461,68.96153846153847
Spain,82.3076923076923,74.0,71.65384615384616,77.6923076923077,79.88461538461539,61.69230769230769,71.3076923076923
Sweden,73.8076923076923,73.73076923076923,62.23076923076923,66.92307692307692,71.1923076923077,57.65384615384615,71.23076923076923
Switzerland,76.46153846153847,73.57692307692308,63.84615384615385,69.46153846153847,73.73076923076923,64.23076923076923,74.65384615384616
Tunisia,68.0,68.38461538461539,58.5,62.73076923076923,67.11538461538461,55.76923076923077,66.6923076923077
Turkey,76.5,73.92307692307692,63.23076923076923,69.61538461538461,74.0,59.73076923076923,71.73076923076923
United States,74.5,74.34615384615384,60.96153846153846,66.42307692307692,71.84615384615384,57.69230769230769,73.76923076923077
Uruguay,75.6923076923077,63.96153846153846,59.65384615384615,62.38461538461539,64.0,61.69230769230769,64.6923076923077
Uzbekistan,59.07692307692308,59.26923076923077,56.34615384615385,57.19230769230769,58.0,56.57692307692308,58.34615384615385
